Tarih      Saat      Enlem(N)  Boylam(E) Derinlik(km)  MD   ML   Mw    Yer                                             Çözüm Niteliği
---------- --------  --------  -------   ----------    ------------    --------------                                  --------------
2022.10.18 12:52:16  37.8772   27.2285        7.2      -.-  1.8  -.-   KUSADASI KORFEZI (EGE DENIZI)                     İlksel
2022.10.18 12:18:57  37.6008   29.2398        0.0      -.-  1.1  -.-   SERINHISAR (DENIZLI)                              İlksel
2022.10.18 11:37:37  36.2410   29.3127       14.2      -.-  2.1  -.-   GELEMIS-KAS (ANTALYA)                             İlksel
2022.10.18 11:17:38  37.9273   27.2557        5.4      -.-  1.9  -.-   KUSADASI KORFEZI (EGE DENIZI)                     İlksel
2022.10.18 11:16:46  37.9317   27.2722        8.7      -.-  1.9  -.-   ZEYTINKOY-SELCUK (IZMIR)                          İlksel
2022.10.18 11:08:48  37.0913   28.9923        3.1      -.-  2.0  -.-   KARACAM-KOYCEGIZ (MUGLA)                          İlksel
2022.10.18 10:38:08  38.0423   27.0258       21.4      -.-  1.4  -.-   KUSADASI KORFEZI (EGE DENIZI)                     İlksel
2022.10.18 10:35:52  38.0262   27.0920       14.7      -.-  1.4  -.-   KUSADASI KORFEZI (EGE DENIZI)                     İlksel
2022.10.18 09:56:18  39.0812   27.5902        0.0      -.-  1.6  -.-   CIFTLIK-KIRKAGAC (MANISA)                         İlksel
2022.10.18 09:38:23  37.7875   27.0163       20.2      -.-  1.8  -.-   KUSADASI KORFEZI (EGE DENIZI)                     İlksel
2022.10.18 09:15:00  37.9243   27.2243        4.5      -.-  1.8  -.-   KUSADASI KORFEZI (EGE DENIZI)                     İlksel
2022.10.18 08:56:02  37.9035   27.2243        6.0      -.-  1.8  -.-   KUSADASI KORFEZI (EGE DENIZI)                     İlksel
2022.10.18 08:45:14  37.9005   27.2618        5.4      -.-  2.1  -.-   KUSADASI KORFEZI (EGE DENIZI)                     İlksel
2022.10.18 08:32:48  38.3205   39.0690        5.0      -.-  3.8  3.9   MEZRAA-DOGANYOL (MALATYA)                         İlksel
2022.10.18 08:18:06  37.9193   27.2580       16.6      -.-  1.5  -.-   KUSADASI KORFEZI (EGE DENIZI)                     İlksel
2022.10.18 07:36:30  37.9275   27.2177        4.6      -.-  2.4  -.-   KUSADASI KORFEZI (EGE DENIZI)                     İlksel
2022.10.18 07:30:54  37.9295   27.2408        4.6      -.-  1.5  -.-   KUSADASI KORFEZI (EGE DENIZI)                     İlksel
2022.10.18 07:28:28  37.9235   27.2178        5.0      -.-  2.0  -.-   KUSADASI KORFEZI (EGE DENIZI)                     İlksel
2022.10.18 07:19:21  37.9433   27.1937        3.5      -.-  2.1  -.-   KUSADASI KORFEZI (EGE DENIZI)                     İlksel
2022.10.18 07:12:02  37.9402   27.2077        8.0      -.-  3.1  3.1   KUSADASI KORFEZI (EGE DENIZI)                     İlksel
2022.10.18 07:06:56  37.9475   27.2088        2.1      -.-  1.8  -.-   KUSADASI KORFEZI (EGE DENIZI)                     İlksel
2022.10.18 07:03:43  37.9103   27.2378        5.4      -.-  3.3  3.4   KUSADASI KORFEZI (EGE DENIZI)                     İlksel
2022.10.18 06:31:20  38.3573   39.0748        5.0      -.-  4.1  4.0   DOGANBAGI-SIVRICE (ELAZIG)                        İlksel
2022.10.18 06:27:38  36.1275   29.0890       15.8      -.-  1.8  -.-   AKDENIZ                                           İlksel
2022.10.18 04:54:42  37.0790   28.4195        6.9      -.-  2.0  -.-   YESILOVA-ULA (MUGLA)                              İlksel
2022.10.18 04:44:32  37.9233   27.2563        8.7      -.-  2.1  -.-   KUSADASI KORFEZI (EGE DENIZI)                     İlksel
2022.10.18 03:14:49  40.7017   32.8078        8.6      -.-  1.9  -.-   KISAC-CERKES (CANKIRI)                            İlksel
2022.10.18 02:16:22  37.0010   35.9767        7.5      -.-  3.3  3.3   DOKUZTEKNE-CEYHAN (ADANA)                         İlksel
2022.10.18 02:09:27  37.0070   36.0218        9.7      -.-  2.3  -.-   DUTLUPINAR-CEYHAN (ADANA)                         İlksel
2022.10.17 23:54:52  37.0593   28.4202       12.1      -.-  1.1  -.-   YESILOVA-ULA (MUGLA)                              İlksel
2022.10.17 23:49:11  37.7468   41.3032       16.1      -.-  3.3  -.-   SUCEKEN-(BATMAN)                                  İlksel
2022.10.17 22:14:25  35.0810   27.2777        8.2      -.-  3.7  -.-   AKDENIZ                                           İlksel
2022.10.17 21:23:32  40.8730   33.0073       12.5      -.-  1.7  -.-   KIZILIBRIK-ATKARACALAR (CANKIRI)                  İlksel
2022.10.17 21:06:59  35.0895   25.1813       87.3      -.-  2.4  -.-   GIRIT ADASI (AKDENIZ)                             İlksel
2022.10.17 20:33:03  40.8493   40.8423        5.4      -.-  2.3  -.-   ORTAKLAR-CAMLIHEMSIN (RIZE)                       İlksel
2022.10.17 18:14:58  36.3060   27.0243       18.9      -.-  2.1  -.-   AKDENIZ                                           İlksel
2022.10.17 18:02:17  37.9220   27.2210        7.1      -.-  1.5  -.-   KUSADASI KORFEZI (EGE DENIZI)                     İlksel
2022.10.17 16:40:43  37.9625   27.6560        8.4      -.-  2.3  -.-   MESELI-GERMENCIK (AYDIN)                          İlksel
2022.10.17 16:19:57  39.1958   27.9820       20.8      -.-  2.2  -.-   AKKOCALI-AKHISAR (MANISA)                         İlksel
2022.10.17 16:05:57  38.9283   26.1262        6.9      -.-  2.0  -.-   MIDILLI ADASI GUNEYI (EGE DENIZI)                 İlksel
2022.10.17 16:02:37  37.6723   27.7985       17.1      -.-  2.2  -.-   GOZKAYA-KOCARLI (AYDIN)                           İlksel
2022.10.17 14:33:34  40.6412   26.5750        2.2      -.-  1.4  -.-   MECIDIYE-KESAN (EDIRNE)                           İlksel
2022.10.17 14:33:14  37.1450   27.3232        5.2      -.-  1.2  -.-   GUNDOGAN-BODRUM (MUGLA)                           İlksel
